model_name,layer_idx,mean_norm,std_norm,k_value,sample_count
qwen2.5-7b,0,13.516974997520446,0.3394949254386978,0.22578522029603149,80
qwen2.5-7b,1,18.837088322639467,0.5765596064487947,0.3146514761951657,80
qwen2.5-7b,2,24.46484570503235,0.8029461945633293,0.4086565653951742,80
qwen2.5-7b,3,150.64845070838928,56.75860107294514,2.516405751781673,80
qwen2.5-7b,4,199.80754623413085,77.29115885445388,3.337550809375498,80
qwen2.5-7b,5,208.47596364021302,79.28267226940574,3.482346559460798,80
qwen2.5-7b,6,217.58329019546508,80.79987276470376,3.6344737723144642,80
qwen2.5-7b,7,226.7528169631958,82.36885485122762,3.7876399667952727,80
qwen2.5-7b,8,233.85028829574586,83.1769096430919,3.90619490446872,80
qwen2.5-7b,9,238.39254913330078,84.32524189525843,3.9820680465021634,80
qwen2.5-7b,10,241.98741416931153,84.95336707143211,4.04211605237915,80
qwen2.5-7b,11,248.967609500885,87.50519087786236,4.158712031948377,80
qwen2.5-7b,12,253.0920657157898,88.65718749475037,4.227606237586432,80
qwen2.5-7b,13,258.3603354454041,89.347166716379,4.3156065070030785,80
qwen2.5-7b,14,261.37439556121825,89.2565291219003,4.365952847612529,80
qwen2.5-7b,15,265.8968375205994,89.64979346617675,4.441494938521345,80
qwen2.5-7b,16,266.7392769813538,89.47239198658721,4.455566902053673,80
qwen2.5-7b,17,270.9737913131714,89.40868758871817,4.526299499504769,80
qwen2.5-7b,18,278.21957607269286,89.98846146242045,4.647331839096008,80
qwen2.5-7b,19,288.26396436691283,89.10243041777514,4.815111569706248,80
qwen2.5-7b,20,304.73527946472166,88.70639162034463,5.090245577766952,80
qwen2.5-7b,21,327.7712160110474,88.50431907347406,5.475033890891128,80
qwen2.5-7b,22,355.35978717803954,88.0198413223345,5.935868627933605,80
qwen2.5-7b,23,394.95760288238523,88.32870075303133,6.597303715568775,80
qwen2.5-7b,24,444.49669380187987,88.1011193457987,7.424796150716065,80
qwen2.5-7b,25,502.6452869415283,87.35193513360858,8.396100226838735,80
qwen2.5-7b,26,463.8186279296875,33.22510239158616,7.747546407662811,80
qwen2.5-7b,27,533.4651443481446,29.92581845526659,8.910909812217241,80
