layer_idx,mean_norm,std_norm,k_value,sample_count,model
0,102.49150400161743,13.122735509041584,1.7120004153090305,80,gemma-2-9b-it
1,108.71599779129028,17.722508952982484,1.8159732865905391,80,gemma-2-9b-it
2,124.86436805725097,22.901409008357316,2.085712879849434,80,gemma-2-9b-it
3,127.45117206573487,25.494394488710608,2.1289224080926497,80,gemma-2-9b-it
4,131.22602186203002,25.953791774736523,2.1919768483795687,80,gemma-2-9b-it
5,145.73583059310914,27.041029130210898,2.434346192215815,80,gemma-2-9b-it
6,158.59626789093016,31.223510845121098,2.6491647199503467,80,gemma-2-9b-it
7,176.2363027572632,35.57818223413893,2.9438208215600112,80,gemma-2-9b-it
8,186.8611371040344,37.978415934332396,3.1212962229745025,80,gemma-2-9b-it
9,208.2274694442749,42.98918541305343,3.4781957552473943,80,gemma-2-9b-it
10,220.6396396636963,45.92800754735056,3.68552650697683,80,gemma-2-9b-it
11,245.15283241271973,52.58113232558864,4.094990653060745,80,gemma-2-9b-it
12,264.8712303161621,57.06855737430011,4.4243633725730795,80,gemma-2-9b-it
13,300.02483997344973,67.73695365568645,5.011563208492535,80,gemma-2-9b-it
14,345.2437461853027,82.23025687606389,5.7668920229988645,80,gemma-2-9b-it
15,385.4217515945435,93.34503914472425,6.438018499451227,80,gemma-2-9b-it
16,428.4148847579956,106.917176786199,7.15616838463688,80,gemma-2-9b-it
17,465.1513601303101,115.31136241721863,7.769808136605002,80,gemma-2-9b-it
18,492.3583974838257,122.52335963660516,8.224269798596147,80,gemma-2-9b-it
19,523.1875049591065,129.82370284674312,8.739233895527093,80,gemma-2-9b-it
20,551.6841129302978,135.2856588939724,9.215236322819099,80,gemma-2-9b-it
21,583.086739730835,142.607882265273,9.739780387695596,80,gemma-2-9b-it
22,604.4592987060547,146.90361981568768,10.09678392860583,80,gemma-2-9b-it
23,628.7495445251465,150.4792761906738,10.502524007603864,80,gemma-2-9b-it
24,647.5666160583496,153.77006750946168,10.816841126798789,80,gemma-2-9b-it
25,679.207991027832,160.14582558248765,11.345373199933825,80,gemma-2-9b-it
26,656.7311336517334,150.21556138419177,10.96992364889479,80,gemma-2-9b-it
27,700.9612739562988,157.734096844225,11.708736288129723,80,gemma-2-9b-it
28,731.0961654663085,167.53369116902738,12.21210432124606,80,gemma-2-9b-it
29,768.3133174896241,170.22445159186606,12.833773213133234,80,gemma-2-9b-it
30,788.5490444183349,171.2782242007186,13.17178730750623,80,gemma-2-9b-it
31,830.2526371002198,172.97780747264855,13.868396930779383,80,gemma-2-9b-it
32,864.9586238861084,179.069023528022,14.448119751416431,80,gemma-2-9b-it
33,893.0028465270996,178.62858304825167,14.916565612135171,80,gemma-2-9b-it
34,919.1642807006835,176.7619006216745,15.353561698850308,80,gemma-2-9b-it
35,943.9459403991699,178.00459077838516,15.767510270579592,80,gemma-2-9b-it
36,988.7590988159179,180.4826354216648,16.516061543859486,80,gemma-2-9b-it
37,1004.726823425293,177.42832414936498,16.78278366321056,80,gemma-2-9b-it
38,1067.252734375,180.7727249871032,17.82720570146833,80,gemma-2-9b-it
39,1138.019676208496,178.27252578006693,19.009284499016108,80,gemma-2-9b-it
40,1316.528717803955,163.05915426819288,21.991068758353546,80,gemma-2-9b-it
41,1827.8655349731446,144.2938816184115,30.53235080786504,80,gemma-2-9b-it
