model_name,layer_idx,mean_norm,std_norm,k_value,sample_count
llama-3.1-8b,0,1.3552379623055457,0.17983873176286738,0.021175593161024152,80
llama-3.1-8b,1,13.713159063458443,6.896706406051551,0.21426811036653817,80
llama-3.1-8b,2,14.464882290363311,6.896165823587145,0.22601378578692674,80
llama-3.1-8b,3,15.307514077425003,6.9027385906261305,0.23917990745976567,80
llama-3.1-8b,4,16.096528154611587,6.895946589342655,0.25150825241580604,80
llama-3.1-8b,5,16.798739910125732,6.889093678933199,0.26248031109571457,80
llama-3.1-8b,6,17.40936427116394,6.900286608481931,0.2720213167369366,80
llama-3.1-8b,7,18.041917324066162,6.930887807039486,0.2819049581885338,80
llama-3.1-8b,8,18.43516783118248,6.938558072259839,0.28804949736222624,80
llama-3.1-8b,9,18.91332302093506,6.88024210859944,0.2955206722021103,80
llama-3.1-8b,10,19.269441401958467,6.915067161761875,0.30108502190560105,80
llama-3.1-8b,11,19.558334290981293,6.889983602030698,0.3055989732965827,80
llama-3.1-8b,12,20.27091782093048,6.965463176906138,0.3167330909520388,80
llama-3.1-8b,13,20.804262506961823,6.846608593307495,0.3250666016712785,80
llama-3.1-8b,14,21.46155285835266,6.83082257090084,0.33533676341176033,80
llama-3.1-8b,15,22.52398588657379,6.786240146791116,0.35193727947771547,80
llama-3.1-8b,16,23.822163259983064,6.734461328062981,0.3722213009372354,80
llama-3.1-8b,17,25.307558989524843,6.688733065052956,0.39543060921132567,80
llama-3.1-8b,18,26.766669082641602,6.6574464656666255,0.41822920441627504,80
llama-3.1-8b,19,28.230790615081787,6.612256519622482,0.4411061033606529,80
llama-3.1-8b,20,29.839827060699463,6.670940873068757,0.4662472978234291,80
llama-3.1-8b,21,32.177898383140565,6.609273585680802,0.5027796622365713,80
llama-3.1-8b,22,34.32546870708465,6.534697741369299,0.5363354485481977,80
llama-3.1-8b,23,36.70652368068695,6.550414178959706,0.5735394325107336,80
llama-3.1-8b,24,38.91888313293457,6.5065828460135275,0.6081075489521026,80
llama-3.1-8b,25,41.192249059677124,6.529271543244292,0.6436288915574551,80
llama-3.1-8b,26,44.305839443206786,6.450146240408755,0.692278741300106,80
llama-3.1-8b,27,47.26655263900757,6.422550625780597,0.7385398849844933,80
llama-3.1-8b,28,50.979547071456906,6.321553598350544,0.7965554229915142,80
llama-3.1-8b,29,55.09523787498474,6.525183200109409,0.8608630917966366,80
llama-3.1-8b,30,60.543031978607175,6.125123593030895,0.9459848746657371,80
llama-3.1-8b,31,72.15694270133972,9.160894743310564,1.127452229708433,80
