model_name,layer_idx,mean_norm,std_norm,k_value,sample_count
mistral-7b,0,0.39912070259451865,0.07539815997014188,0.006236260978039354,80
mistral-7b,1,13.105351279675961,6.956071111398033,0.2047711137449369,80
mistral-7b,2,13.307752850651742,6.949940168616385,0.20793363829143346,80
mistral-7b,3,13.522996747493744,6.948901051202007,0.21129682417958975,80
mistral-7b,4,13.793682724237442,6.93693586597819,0.21552629256621003,80
mistral-7b,5,14.062266361713409,6.9212757844606845,0.219722911901772,80
mistral-7b,6,14.363573634624482,6.923390050556854,0.22443083804100752,80
mistral-7b,7,14.669850945472717,6.919403926953187,0.2292164210230112,80
mistral-7b,8,14.961969321966171,6.924919883003081,0.23378077065572142,80
mistral-7b,9,15.345574188232423,6.961481531118078,0.2397745966911316,80
mistral-7b,10,15.696494084596633,6.962247305274113,0.2452577200718224,80
mistral-7b,11,16.032704544067382,6.94118088298223,0.25051100850105285,80
mistral-7b,12,16.322809398174286,6.92880408609763,0.2550438968464732,80
mistral-7b,13,16.818938940763474,6.952363694008858,0.2627959209494293,80
mistral-7b,14,17.636495667696,7.08775972534569,0.27557024480775,80
mistral-7b,15,18.261966413259508,7.041832642027112,0.2853432252071798,80
mistral-7b,16,19.163730210065843,7.024504394849038,0.2994332845322788,80
mistral-7b,17,20.2022367477417,7.020150102466969,0.3156599491834641,80
mistral-7b,18,21.533841025829314,6.992348157850426,0.33646626602858304,80
mistral-7b,19,23.99099576473236,7.34074022710169,0.37485930882394314,80
mistral-7b,20,25.55708693265915,7.314029726289438,0.3993294833227992,80
mistral-7b,21,26.95032795667648,7.29290926570747,0.42109887432307,80
mistral-7b,22,28.25214754343033,7.265221226920467,0.4414398053660989,80
mistral-7b,23,29.65715823173523,7.201283774109699,0.463393097370863,80
mistral-7b,24,30.94212141036987,7.147480036025362,0.48347064703702924,80
mistral-7b,25,32.26369681358337,7.121083560212681,0.5041202627122402,80
mistral-7b,26,33.63038957118988,7.057000038000308,0.5254748370498419,80
mistral-7b,27,35.34624021053314,6.996428361094717,0.5522850032895803,80
mistral-7b,28,37.40609796047211,6.862894297923828,0.5844702806323767,80
mistral-7b,29,41.4228253364563,6.868866644405129,0.6472316458821297,80
mistral-7b,30,41.4456090927124,4.800351531115321,0.6475876420736313,80
mistral-7b,31,44.309543657302854,4.779002231089872,0.6923366196453571,80
