model_name,layer_idx,mean_norm,std_norm,k_value,sample_count
mistral-7b-instruct,0,0.46052154935896394,0.09927608869408416,0.007195649208733812,80
mistral-7b-instruct,1,9.599070830643177,4.7064849494346745,0.14998548172879964,80
mistral-7b-instruct,2,9.831910526752472,4.703951251810189,0.15362360198050737,80
mistral-7b-instruct,3,10.061257869005203,4.7154405445306375,0.1572071542032063,80
mistral-7b-instruct,4,10.324952641129494,4.71867543513584,0.16132738501764834,80
mistral-7b-instruct,5,10.617351859807968,4.719235991920742,0.1658961228094995,80
mistral-7b-instruct,6,10.9707196444273,4.735237732576288,0.17141749444417656,80
mistral-7b-instruct,7,11.293427309393882,4.733744709701207,0.1764598017092794,80
mistral-7b-instruct,8,11.652529746294022,4.782665361225727,0.1820707772858441,80
mistral-7b-instruct,9,11.978883135318757,4.769622437585524,0.18717004898935558,80
mistral-7b-instruct,10,12.336759179830551,4.773000943312462,0.19276186218485236,80
mistral-7b-instruct,11,12.726542216539382,4.76232500341363,0.19885222213342785,80
mistral-7b-instruct,12,13.031333750486374,4.750201908067005,0.2036145898513496,80
mistral-7b-instruct,13,13.480748075246812,4.7369268866453105,0.21063668867573143,80
mistral-7b-instruct,14,14.000803011655808,4.70596313424783,0.218762547057122,80
mistral-7b-instruct,15,14.513941246271134,4.686748884763302,0.22678033197298647,80
mistral-7b-instruct,16,15.196157962083817,4.667777349982406,0.23743996815755963,80
mistral-7b-instruct,17,16.16557047367096,4.6990197431301945,0.25258703865110876,80
mistral-7b-instruct,18,17.229382729530336,4.68309853931328,0.2692091051489115,80
mistral-7b-instruct,19,18.76650587320328,4.721287009469103,0.29322665426880123,80
mistral-7b-instruct,20,20.097159385681152,4.776321788692769,0.314018115401268,80
mistral-7b-instruct,21,21.21181312799454,4.80638307913716,0.33143458012491467,80
mistral-7b-instruct,22,22.29317852258682,4.830485296830109,0.3483309144154191,80
mistral-7b-instruct,23,23.35165693759918,4.824840563169182,0.3648696396499872,80
mistral-7b-instruct,24,24.404780387878418,4.779983054808003,0.3813246935606003,80
mistral-7b-instruct,25,25.484619915485382,4.733031192539944,0.3981971861794591,80
mistral-7b-instruct,26,26.560986375808717,4.644494568924404,0.4150154121220112,80
mistral-7b-instruct,27,27.99437072277069,4.5595340229274495,0.437412042543292,80
mistral-7b-instruct,28,29.766020703315736,4.4009238604856495,0.46509407348930837,80
mistral-7b-instruct,29,32.84672634601593,4.376344864281913,0.5132300991564989,80
mistral-7b-instruct,30,34.25665431022644,3.804881784848476,0.5352602235972881,80
mistral-7b-instruct,31,41.98482587337494,5.451915578971344,0.6560129042714834,80
